Navire,IMO,Type,Port,Date_arrivee_rade,Date_depart_rade,Duree_en_rade,Duree_en_rade_heures,Raison,Jauge_brute_GT,Longueur_LOA_m,Tirant_eau_m,Navires_en_attente_rade,Indice_congestion_port,Conditions_meteo,Poste_a_quai_assigne,Jour_semaine,Mois,Annee
MV Sahara 5,IMO9687923,Vraquier,Port d'Alger,2022-11-04 10:10,2022-11-07 05:58,67h48,67.8,Encombrement quai,54508,214.8,14.5,8,0.19,Mer agitée,Q3,Vendredi,11,2022
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2022-11-09 06:40,2022-11-10 14:55,32h16,32.26,Contrôle douanier,14494,199.1,13.7,5,0.45,Houle,Q9,Mercredi,11,2022
MT Zaccar 7,IMO9400156,Pétrolier,Port d'Alger,2022-11-10 20:15,2022-11-12 05:51,33h36,33.61,Contrôle douanier,25973,201.4,12.9,2,0.34,Mer agitée,Q9,Jeudi,11,2022
MV Voyager 7,IMO9681403,Vraquier,Port d'Alger,2022-11-13 02:50,2022-11-15 21:49,66h59,66.99,Attente marchandise,46646,182.2,10.8,11,0.15,Beau temps,Q11,Dimanche,11,2022
MSC/CMA Sahel 1,IMO9723811,Porte-conteneurs,Port d'Alger,2022-11-13 13:10,2022-11-14 10:22,21h13,21.22,Attente grue,52719,238.9,13.7,5,0.16,Beau temps,Q8,Dimanche,11,2022
MV Ocean 7,IMO9509253,Vraquier,Port d'Alger,2022-11-15 05:00,2022-11-17 10:09,53h09,53.15,Encombrement quai,58164,191.6,12.1,8,0.33,Mer agitée,Q5,Mardi,11,2022
MT Voyager 2,IMO9740380,Pétrolier,Port d'Alger,2022-11-21 18:20,2022-12-06 09:27,351h08,351.13,Conflit social au port,69410,156.4,12.8,22,0.91,Vent fort,Q2,Lundi,11,2022
MV Star 9,IMO9439898,Vraquier,Port d'Alger,2022-11-24 10:40,2022-11-26 17:36,54h57,54.94,Encombrement quai,22782,141.4,7.9,6,0.49,Beau temps,Q8,Jeudi,11,2022
MV Atlas 6,IMO9829179,Céréalier,Port d'Alger,2022-11-29 23:50,2022-12-02 18:08,66h18,66.3,Attente silo disponible,14898,209.1,14.6,11,0.5,Beau temps,Q3,Mardi,11,2022
RoRo Diamant 1,IMO9172634,Roulier (Ro-Ro),Port d'Alger,2022-12-07 13:50,2022-12-08 10:11,20h22,20.37,Attente autorisation,30140,172.2,10.1,6,0.19,Beau temps,Q5,Mercredi,12,2022
MV Hoggar 9,IMO9689171,Cimentier,Port d'Alger,2022-12-08 02:40,2022-12-17 03:49,217h10,217.16,Panne système informatique portuaire,14821,116.0,8.5,15,0.89,Mer agitée,Q9,Jeudi,12,2022
MV Cristal 3,IMO9108751,Vraquier,Port d'Alger,2022-12-08 03:15,2022-12-11 13:14,82h00,82.0,Encombrement quai,11140,167.0,10.4,8,0.78,Beau temps,Q10,Jeudi,12,2022
MT Sahara 6,IMO9633052,Pétrolier,Port d'Alger,2022-12-08 15:30,2022-12-11 10:09,66h40,66.67,Attente poste à quai,33035,199.3,11.9,8,0.78,Houle,Q6,Jeudi,12,2022
MT Atlas 7,IMO9716400,Pétrolier,Port d'Alger,2022-12-11 18:45,2022-12-14 04:11,57h27,57.45,Attente pilote,30892,219.5,13.9,8,0.68,Beau temps,Q4,Dimanche,12,2022
RoRo Baltic 3,IMO9732052,Roulier (Ro-Ro),Port d'Alger,2022-12-12 00:40,2022-12-14 08:51,56h11,56.19,Attente pilote,39405,127.8,7.6,10,0.9,Vent fort,Q7,Lundi,12,2022
LNG Sahel 2,IMO9390722,Gazier,Port d'Alger,2022-12-16 10:40,2022-12-18 18:42,56h03,56.05,Attente poste à quai,25402,205.4,13.2,9,0.76,Vent fort,Q2,Vendredi,12,2022
MV Pioneer 2,IMO9619176,Céréalier,Port d'Alger,2022-12-20 15:10,2022-12-23 18:36,75h27,75.44,Attente silo disponible,65201,178.5,10.2,10,0.62,Beau temps,Q1,Mardi,12,2022
MT Pioneer 5,IMO9136384,Pétrolier,Port d'Alger,2022-12-22 23:10,2022-12-25 08:00,56h51,56.85,Attente pilote,71578,231.1,14.1,13,0.78,Beau temps,Q1,Jeudi,12,2022
MSC/CMA Aurès 3,IMO9066165,Porte-conteneurs,Port d'Alger,2022-12-25 21:50,2022-12-27 23:14,49h24,49.4,Attente grue,67270,165.8,10.8,6,0.27,Vent fort,Q1,Dimanche,12,2022
MT Sahara 6,IMO9633052,Pétrolier,Port d'Alger,2022-12-29 13:00,2022-12-31 16:03,51h04,51.06,Contrôle douanier,32562,167.7,11.1,8,0.24,Vent fort,Q11,Jeudi,12,2022
MV Tassili 6,IMO9528597,Vraquier,Port d'Alger,2022-12-29 22:15,2023-01-01 23:04,72h49,72.82,Encombrement quai,64962,143.3,8.5,10,0.95,Houle,Q10,Jeudi,12,2022
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2022-12-30 10:00,2023-01-02 00:09,62h10,62.16,Attente autorisation,23508,155.4,10.2,10,0.87,Vent fort,Q2,Vendredi,12,2022
RoRo Star 2,IMO9638720,Roulier (Ro-Ro),Port d'Alger,2023-01-01 18:30,2023-01-02 16:41,22h11,22.19,Attente pilote,10691,176.1,9.9,3,0.05,Beau temps,Q6,Dimanche,1,2023
MT Aurès 8,IMO9420780,Pétrolier,Port d'Alger,2023-01-02 07:20,2023-01-14 20:53,301h33,301.55,Encombrement quai sévère,82212,200.0,16.0,12,0.88,Houle,Q2,Lundi,1,2023
MSC/CMA Hoggar 9,IMO9989723,Porte-conteneurs,Port d'Alger,2023-01-13 03:15,2023-01-19 00:47,141h32,141.54,Tempête majeure / Fermeture du port,57105,289.0,10.0,10,0.83,Mer agitée,Q2,Vendredi,1,2023
MV Voyager 4,IMO9678720,Vraquier,Port d'Alger,2023-01-19 08:30,2023-01-21 18:29,58h00,58.0,Encombrement quai,24280,200.8,11.1,6,0.55,Beau temps,Q9,Jeudi,1,2023
LNG Bouzaréah 2,IMO9850360,Gazier,Port d'Alger,2023-01-21 10:50,2023-01-23 03:45,40h56,40.93,Attente autorisation,12883,135.7,7.5,7,0.24,Houle,Q12,Samedi,1,2023
MV Mitidja 3,IMO9908100,Céréalier,Port d'Alger,2023-01-25 07:45,2023-01-29 15:41,103h56,103.94,Attente prolongée poste à quai,29383,170.7,14.6,18,0.85,Vent fort,Q8,Mercredi,1,2023
MT Cirta 1,IMO9411987,Pétrolier,Port d'Alger,2023-01-25 13:30,2023-01-27 05:01,39h31,39.52,Contrôle douanier,72652,162.2,10.5,3,0.55,Mer agitée,Q3,Mercredi,1,2023
MV Ocean 3,IMO9658765,Céréalier,Port d'Alger,2023-01-25 19:30,2023-01-28 03:25,55h55,55.92,Attente poste à quai,14297,183.6,10.4,4,0.22,Beau temps,Q5,Mercredi,1,2023
MSC/CMA Numidia 2,IMO9197303,Porte-conteneurs,Port d'Alger,2023-01-26 01:30,2023-01-27 06:21,28h51,28.86,Attente pilote,93580,287.2,17.7,3,0.23,Vent fort,Q8,Jeudi,1,2023
MT Cristal 3,IMO9180516,Pétrolier,Port d'Alger,2023-01-27 16:45,2023-02-11 12:10,355h26,355.43,Pénurie de pilotes,50636,241.1,14.2,22,0.83,Mer agitée,Q3,Vendredi,1,2023
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2023-01-28 06:50,2023-01-29 14:24,31h35,31.58,Attente pilote,52991,242.0,14.6,3,0.05,Brouillard,Q2,Samedi,1,2023
MV Star 9,IMO9439898,Vraquier,Port d'Alger,2023-01-28 06:50,2023-01-30 01:49,42h59,42.99,Attente déchargement,45619,209.9,13.3,2,0.05,Beau temps,Q2,Samedi,1,2023
MT Neptune 9,IMO9132731,Pétrolier,Port d'Alger,2023-02-02 09:20,2023-02-03 12:27,27h08,27.13,Attente poste à quai,49869,191.9,13.2,3,0.05,Beau temps,Q9,Jeudi,2,2023
LNG Pioneer 3,IMO9352595,Gazier,Port d'Alger,2023-02-03 06:15,2023-02-17 00:33,330h19,330.31,Tempête majeure / Fermeture du port,25685,140.6,7.5,16,0.82,Mer agitée,Q9,Vendredi,2,2023
MV Star 9,IMO9439898,Vraquier,Port d'Alger,2023-02-07 23:20,2023-02-10 01:31,50h12,50.2,Attente poste à quai,8404,194.8,13.1,4,0.76,Brouillard,Q3,Mardi,2,2023
MSC/CMA Emeraude 5,IMO9866785,Porte-conteneurs,Port d'Alger,2023-02-10 13:10,2023-02-11 02:05,12h56,12.93,Attente poste à quai,81515,188.7,10.8,4,0.05,Beau temps,Q3,Vendredi,2,2023
MV Hoggar 6,IMO9737606,Cimentier,Port d'Alger,2023-02-11 19:20,2023-02-14 06:04,58h45,58.74,Attente poste à quai,24156,121.3,8.1,12,0.84,Beau temps,Q1,Samedi,2,2023
MSC/CMA Aurès 4,IMO9076661,Porte-conteneurs,Port d'Alger,2023-02-11 21:20,2023-02-19 14:16,184h56,184.94,Pénurie de pilotes,63592,152.3,13.5,11,0.83,Beau temps,Q1,Samedi,2,2023
MV Sahara 8,IMO9943313,Céréalier,Port d'Alger,2023-02-16 22:30,2023-02-18 20:03,45h33,45.55,Attente poste à quai,65922,206.6,13.3,7,0.05,Beau temps,Q4,Jeudi,2,2023
MV Emeraude 2,IMO9091254,Vraquier,Port d'Alger,2023-02-18 20:15,2023-02-21 12:35,64h20,64.33,Encombrement quai,60785,137.8,9.6,7,0.59,Beau temps,Q9,Samedi,2,2023
MT Cristal 5,IMO9097874,Pétrolier,Port d'Alger,2023-02-19 22:15,2023-02-21 17:36,43h22,43.36,Attente pilote,84117,192.0,10.7,3,0.54,Mer agitée,Q2,Dimanche,2,2023
RoRo Neptune 6,IMO9791787,Roulier (Ro-Ro),Port d'Alger,2023-02-20 19:50,2023-02-22 11:07,39h18,39.29,Attente pilote,10516,146.5,8.6,8,0.82,Mer agitée,Q10,Lundi,2,2023
MV Tassili 8,IMO9559572,Céréalier,Port d'Alger,2023-02-23 12:20,2023-02-25 18:55,54h35,54.59,Attente marchandise,26358,154.4,9.6,9,0.32,Mer agitée,Q5,Jeudi,2,2023
MV Emeraude 7,IMO9082627,Vraquier,Port d'Alger,2023-02-23 21:40,2023-02-25 18:14,44h34,44.57,Attente marchandise,57423,220.5,13.8,7,0.11,Beau temps,Q8,Jeudi,2,2023
MV Chenoua 6,IMO9811984,Cimentier,Port d'Alger,2023-02-25 02:20,2023-02-26 13:48,35h28,35.47,Mauvais temps,28346,122.1,7.6,1,0.19,Beau temps,Q1,Samedi,2,2023
RoRo Poseidon 3,IMO9024906,Roulier (Ro-Ro),Port d'Alger,2023-02-26 17:45,2023-02-28 10:53,41h08,41.13,Attente autorisation,16263,139.5,8.6,6,0.86,Beau temps,Q1,Dimanche,2,2023
MV Tassili 2,IMO9313814,Céréalier,Port d'Alger,2023-03-01 18:15,2023-03-05 06:53,84h39,84.65,Attente silo disponible,15854,203.7,13.0,9,0.68,Beau temps,Q10,Mercredi,3,2023
MV Emeraude 4,IMO9777493,Vraquier,Port d'Alger,2023-03-04 10:30,2023-03-07 03:40,65h11,65.18,Encombrement quai,21795,198.5,11.2,3,0.43,Beau temps,Q4,Samedi,3,2023
MSC/CMA Corniche 3,IMO9646081,Porte-conteneurs,Port d'Alger,2023-03-06 23:40,2023-03-08 01:06,25h26,25.44,Attente pilote,31927,248.5,17.3,4,0.38,Beau temps,Q4,Lundi,3,2023
LNG Zaccar 6,IMO9676856,Gazier,Port d'Alger,2023-03-07 19:25,2023-03-11 22:55,99h30,99.5,Avarie technique nécessitant expertise,12678,197.5,8.1,17,0.87,Vent fort,Q7,Mardi,3,2023
MT Pioneer 7,IMO9650810,Pétrolier,Port d'Alger,2023-03-07 21:20,2023-03-09 14:15,40h55,40.92,Attente autorisation,35518,234.5,13.0,4,0.2,Vent fort,Q3,Mardi,3,2023
MV Diamant 9,IMO9303742,Vraquier,Port d'Alger,2023-03-08 18:45,2023-03-11 06:41,59h56,59.94,Attente marchandise,45180,213.0,13.9,11,0.69,Mer agitée,Q8,Mercredi,3,2023
MSC/CMA Pioneer 4,IMO9171339,Porte-conteneurs,Port d'Alger,2023-03-08 22:40,2023-03-10 20:45,46h05,46.09,Attente grue,33195,173.5,10.2,8,0.21,Houle,Q5,Mercredi,3,2023
RoRo Levant 1,IMO9540299,Roulier (Ro-Ro),Port d'Alger,2023-03-09 13:50,2023-03-11 18:59,53h09,53.16,Attente poste à quai,14287,136.9,7.6,10,0.9,Vent fort,Q5,Jeudi,3,2023
RoRo Baltic 3,IMO9732052,Roulier (Ro-Ro),Port d'Alger,2023-03-10 13:15,2023-03-12 13:51,48h37,48.62,Attente autorisation,12340,131.7,8.6,8,0.92,Mer agitée,Q4,Vendredi,3,2023
RoRo Star 2,IMO9638720,Roulier (Ro-Ro),Port d'Alger,2023-03-11 11:30,2023-03-12 17:32,30h03,30.04,Attente autorisation,18946,185.7,10.5,4,0.18,Vent fort,Q9,Samedi,3,2023
MSC/CMA Corniche 1,IMO9216881,Porte-conteneurs,Port d'Alger,2023-03-15 02:45,2023-03-16 05:14,26h29,26.49,Attente grue,34097,201.9,13.8,3,0.14,Houle,Q10,Mercredi,3,2023
MT Atlas 2,IMO9229258,Pétrolier,Port d'Alger,2023-03-18 16:10,2023-03-20 20:03,51h53,51.89,Contrôle douanier,52866,159.7,9.9,7,0.41,Beau temps,Q9,Samedi,3,2023
MV Mitidja 2,IMO9896865,Vraquier,Port d'Alger,2023-03-28 15:20,2023-03-30 05:36,38h16,38.27,Attente marchandise,53566,189.1,10.6,3,0.11,Beau temps,Q11,Mardi,3,2023
MV Endeavour 9,IMO9158067,Céréalier,Port d'Alger,2023-03-29 14:40,2023-04-01 09:17,66h38,66.63,Attente poste à quai,51020,165.4,9.6,3,0.89,Beau temps,Q8,Mercredi,3,2023
MSC/CMA Poseidon 9,IMO9444730,Porte-conteneurs,Port d'Alger,2023-04-02 00:00,2023-04-03 19:48,43h49,43.81,Attente pilote,39672,255.7,17.2,8,0.62,Beau temps,Q4,Dimanche,4,2023
MV Bouzaréah 5,IMO9811102,Vraquier,Port d'Alger,2023-04-03 16:00,2023-04-06 08:32,64h33,64.55,Attente marchandise,62410,136.7,8.5,8,0.88,Houle,Q2,Lundi,4,2023
MT Levant 6,IMO9170555,Pétrolier,Port d'Alger,2023-04-06 02:40,2023-04-07 01:06,22h27,22.45,Attente autorisation,75441,236.1,13.0,3,0.17,Beau temps,Q1,Jeudi,4,2023
MSC/CMA Djurdjura 8,IMO9977957,Porte-conteneurs,Port d'Alger,2023-04-06 03:50,2023-04-07 14:53,35h03,35.05,Encombrement quai,45160,194.4,11.4,1,0.34,Vent fort,Q7,Jeudi,4,2023
MSC/CMA Levant 6,IMO9605397,Porte-conteneurs,Port d'Alger,2023-04-07 21:20,2023-04-09 23:53,50h34,50.56,Attente poste à quai,88590,192.8,12.4,10,1.0,Beau temps,Q8,Vendredi,4,2023
MT Atlas 2,IMO9229258,Pétrolier,Port d'Alger,2023-04-09 04:15,2023-04-11 04:36,48h22,48.36,Attente poste à quai,86645,186.8,11.2,6,0.37,Beau temps,Q11,Dimanche,4,2023
MT Emeraude 8,IMO9926224,Pétrolier,Port d'Alger,2023-04-13 19:15,2023-04-25 18:45,287h30,287.5,Tempête majeure / Fermeture du port,86604,169.7,15.7,17,0.92,Mer agitée,Q1,Jeudi,4,2023
MV Atlantic 6,IMO9420651,Cimentier,Port d'Alger,2023-04-18 03:20,2023-04-19 21:24,42h04,42.07,Mauvais temps,29621,158.7,9.0,5,0.17,Beau temps,Q3,Mardi,4,2023
MT Poseidon 2,IMO9608982,Pétrolier,Port d'Alger,2023-04-20 16:45,2023-04-22 23:48,55h04,55.07,Attente autorisation,60516,228.4,14.6,8,0.98,Beau temps,Q11,Jeudi,4,2023
MV Cirta 3,IMO9005433,Céréalier,Port d'Alger,2023-04-22 01:10,2023-04-25 01:00,71h51,71.85,Attente silo disponible,27403,151.2,9.0,4,0.67,Brouillard,Q7,Samedi,4,2023
RoRo Kabylie 4,IMO9679112,Roulier (Ro-Ro),Port d'Alger,2023-04-24 15:00,2023-04-26 00:07,33h07,33.12,Attente autorisation,29767,125.8,7.0,7,0.34,Beau temps,Q12,Lundi,4,2023
MT Diamant 6,IMO9063491,Pétrolier,Port d'Alger,2023-04-29 11:10,2023-05-01 07:43,44h34,44.56,Attente autorisation,28884,157.3,9.1,7,0.37,Beau temps,Q2,Samedi,4,2023
MV Poseidon 1,IMO9267304,Vraquier,Port d'Alger,2023-05-02 04:00,2023-05-16 23:46,355h47,355.78,Panne grue portuaire majeure,37260,132.5,11.8,20,0.96,Beau temps,Q11,Mardi,5,2023
MV Chenoua 9,IMO9250786,Cimentier,Port d'Alger,2023-05-02 14:30,2023-05-04 07:35,41h05,41.09,Attente déchargement,6621,140.6,8.9,7,0.45,Beau temps,Q4,Mardi,5,2023
MV Voyager 1,IMO9588508,Vraquier,Port d'Alger,2023-05-03 08:50,2023-05-06 11:45,74h55,74.92,Encombrement quai,10934,150.7,10.3,4,0.23,Vent fort,Q4,Mercredi,5,2023
MSC/CMA Levant 6,IMO9605397,Porte-conteneurs,Port d'Alger,2023-05-07 05:10,2023-05-08 21:48,40h38,40.63,Attente grue,108730,272.6,16.4,4,0.23,Beau temps,Q5,Dimanche,5,2023
MSC/CMA Pioneer 4,IMO9171339,Porte-conteneurs,Port d'Alger,2023-05-09 15:15,2023-05-11 09:05,41h50,41.84,Encombrement quai,87836,183.1,10.3,7,0.39,Beau temps,Q11,Mardi,5,2023
MSC/CMA Cirta 1,IMO9364069,Porte-conteneurs,Port d'Alger,2023-05-13 03:30,2023-05-14 19:23,39h54,39.89,Encombrement quai,21654,298.5,17.9,6,0.23,Beau temps,Q2,Samedi,5,2023
MV Pioneer 2,IMO9619176,Céréalier,Port d'Alger,2023-05-14 22:20,2023-05-17 14:40,64h21,64.35,Attente poste à quai,44519,194.0,12.7,6,0.73,Mer agitée,Q2,Dimanche,5,2023
MV Cirta 7,IMO9269054,Cimentier,Port d'Alger,2023-05-15 01:40,2023-05-17 11:11,57h31,57.52,Attente déchargement,10842,144.7,8.5,10,1.0,Beau temps,Q1,Lundi,5,2023
MV Pioneer 2,IMO9619176,Céréalier,Port d'Alger,2023-05-17 21:45,2023-05-20 05:46,56h01,56.02,Attente silo disponible,52923,198.2,12.0,6,0.88,Mer agitée,Q8,Mercredi,5,2023
MV Corniche 2,IMO9510216,Vraquier,Port d'Alger,2023-05-18 22:15,2023-05-28 07:21,225h06,225.1,Encombrement quai sévère,30162,207.9,10.5,15,0.96,Vent fort,Q11,Jeudi,5,2023
MV Emeraude 7,IMO9082627,Vraquier,Port d'Alger,2023-05-23 04:10,2023-05-26 08:18,76h08,76.14,Encombrement quai,42367,210.9,14.7,9,0.84,Houle,Q4,Mardi,5,2023
MV Cristal 1,IMO9900300,Vraquier,Port d'Alger,2023-05-24 08:15,2023-05-26 04:40,44h26,44.43,Attente déchargement,59445,175.6,11.8,3,0.35,Beau temps,Q8,Mercredi,5,2023
LNG Bouzaréah 3,IMO9144892,Gazier,Port d'Alger,2023-05-24 08:45,2023-05-26 13:14,52h29,52.49,Contrôle sécurité,13535,157.4,11.0,7,1.0,Beau temps,Q12,Mercredi,5,2023
MV Numidia 8,IMO9562275,Vraquier,Port d'Alger,2023-05-26 01:50,2023-05-28 12:37,58h48,58.8,Attente marchandise,19260,208.6,12.1,10,1.0,Vent fort,Q6,Vendredi,5,2023
MV Zaccar 1,IMO9693384,Vraquier,Port d'Alger,2023-05-26 03:50,2023-05-28 09:29,53h39,53.65,Attente marchandise,46286,188.0,11.4,6,0.3,Mer agitée,Q8,Vendredi,5,2023
MV Voyager 1,IMO9588508,Vraquier,Port d'Alger,2023-05-27 03:50,2023-05-30 00:21,68h31,68.52,Attente poste à quai,30761,165.1,11.5,9,0.74,Beau temps,Q4,Samedi,5,2023
MV Emeraude 7,IMO9082627,Vraquier,Port d'Alger,2023-05-28 14:30,2023-05-31 00:24,57h54,57.9,Attente poste à quai,34972,226.5,13.1,7,0.36,Houle,Q4,Dimanche,5,2023
MV Chenoua 9,IMO9036014,Céréalier,Port d'Alger,2023-05-29 08:25,2023-06-08 09:38,241h13,241.22,Encombrement quai sévère,35242,231.2,12.1,11,0.93,Beau temps,Q9,Lundi,5,2023
MV Diamant 9,IMO9787352,Vraquier,Port d'Alger,2023-05-30 17:00,2023-06-01 23:25,54h25,54.42,Attente marchandise,13567,195.3,12.0,4,0.57,Beau temps,Q2,Mardi,5,2023
MT Levant 6,IMO9170555,Pétrolier,Port d'Alger,2023-06-01 02:50,2023-06-02 21:34,42h44,42.74,Attente pilote,44532,162.8,9.6,7,0.48,Beau temps,Q4,Jeudi,6,2023
MV Hoggar 6,IMO9222955,Vraquier,Port d'Alger,2023-06-03 01:20,2023-06-05 14:47,61h27,61.45,Attente marchandise,33098,187.7,10.6,11,0.62,Beau temps,Q5,Samedi,6,2023
RoRo Levant 2,IMO9179376,Roulier (Ro-Ro),Port d'Alger,2023-06-13 12:10,2023-06-21 13:34,193h24,193.4,Conflit social au port,35405,199.1,9.0,18,0.95,Houle,Q7,Mardi,6,2023
MV Numidia 2,IMO9495158,Vraquier,Port d'Alger,2023-06-18 18:30,2023-06-22 09:15,86h46,86.76,Attente poste à quai,20966,138.3,8.3,10,1.0,Houle,Q11,Dimanche,6,2023
MSC/CMA Aurès 5,IMO9422548,Porte-conteneurs,Port d'Alger,2023-06-25 12:50,2023-06-27 20:49,55h59,55.98,Attente grue,99535,276.8,16.9,9,0.97,Beau temps,Q1,Dimanche,6,2023
MV Numidia 5,IMO9213910,Vraquier,Port d'Alger,2023-07-01 05:30,2023-07-05 08:37,99h08,99.13,Attente poste à quai,35810,142.5,9.2,13,1.0,Vent fort,Q6,Samedi,7,2023
MV Levant 1,IMO9240174,Céréalier,Port d'Alger,2023-07-05 18:00,2023-07-08 21:31,75h32,75.53,Attente poste à quai,68912,176.7,11.8,9,0.85,Mer agitée,Q11,Mercredi,7,2023
MV Horizon 8,IMO9960571,Vraquier,Port d'Alger,2023-07-06 18:00,2023-07-08 23:01,53h02,53.03,Encombrement quai,21984,162.8,9.7,8,0.47,Beau temps,Q11,Jeudi,7,2023
MSC/CMA Levant 6,IMO9605397,Porte-conteneurs,Port d'Alger,2023-07-07 03:15,2023-07-09 00:02,44h48,44.8,Attente grue,74448,196.9,12.8,5,1.0,Beau temps,Q2,Vendredi,7,2023
MT Pioneer 1,IMO9188066,Pétrolier,Port d'Alger,2023-07-10 01:10,2023-07-12 08:17,55h07,55.12,Attente pilote,39565,196.4,12.9,6,0.95,Houle,Q1,Lundi,7,2023
MV Atlantic 2,IMO9135691,Vraquier,Port d'Alger,2023-07-15 06:15,2023-07-17 22:16,64h01,64.02,Encombrement quai,64931,126.0,8.0,6,1.0,Mer agitée,Q7,Samedi,7,2023
MV Neptune 5,IMO9197509,Vraquier,Port d'Alger,2023-07-21 20:40,2023-07-25 01:05,76h26,76.43,Attente déchargement,54549,217.4,12.2,16,1.0,Beau temps,Q1,Vendredi,7,2023
MV Cirta 1,IMO9138205,Cimentier,Port d'Alger,2023-07-22 04:15,2023-07-24 03:29,47h15,47.25,Attente poste à quai,26697,131.8,8.3,3,0.56,Beau temps,Q10,Samedi,7,2023
MV Endeavour 6,IMO9449993,Cimentier,Port d'Alger,2023-07-25 07:15,2023-08-08 18:33,347h18,347.3,Encombrement quai sévère,27395,159.5,10.4,10,0.93,Beau temps,Q5,Mardi,7,2023
MT Atlas 2,IMO9229258,Pétrolier,Port d'Alger,2023-07-27 19:10,2023-07-30 01:18,54h09,54.15,Attente pilote,65402,163.4,9.7,5,0.91,Beau temps,Q9,Jeudi,7,2023
MT Hoggar 5,IMO9735911,Pétrolier,Port d'Alger,2023-07-29 12:40,2023-07-31 21:14,56h34,56.57,Attente autorisation,23399,164.7,11.5,9,1.0,Beau temps,Q11,Samedi,7,2023
MSC/CMA Mitidja 4,IMO9542899,Porte-conteneurs,Port d'Alger,2023-08-07 22:00,2023-08-09 22:49,48h50,48.83,Attente pilote,60051,191.4,12.7,6,0.87,Mer agitée,Q12,Lundi,8,2023
MV Star 2,IMO9465230,Vraquier,Port d'Alger,2023-08-12 07:10,2023-08-14 21:55,62h45,62.76,Attente marchandise,44013,148.6,9.6,9,0.51,Beau temps,Q1,Samedi,8,2023
RoRo Baltic 3,IMO9732052,Roulier (Ro-Ro),Port d'Alger,2023-08-14 07:30,2023-08-15 08:58,25h28,25.47,Attente pilote,39401,140.5,9.1,6,0.56,Beau temps,Q8,Lundi,8,2023
MV Meridian 9,IMO9535618,Céréalier,Port d'Alger,2023-08-15 05:50,2023-08-18 04:22,70h33,70.54,Attente poste à quai,66422,207.3,14.5,5,0.88,Beau temps,Q5,Mardi,8,2023
RoRo Star 2,IMO9638720,Roulier (Ro-Ro),Port d'Alger,2023-08-16 01:00,2023-08-17 19:46,42h46,42.77,Attente autorisation,26505,131.8,8.9,10,0.98,Beau temps,Q5,Mercredi,8,2023
MT Sahara 6,IMO9633052,Pétrolier,Port d'Alger,2023-08-16 03:45,2023-08-17 23:12,43h27,43.45,Contrôle douanier,87265,193.2,11.5,6,0.59,Beau temps,Q12,Mercredi,8,2023
MV Atlantic 6,IMO9420651,Cimentier,Port d'Alger,2023-08-16 10:10,2023-08-18 14:40,52h31,52.51,Attente poste à quai,14003,106.1,7.3,10,0.59,Beau temps,Q7,Mercredi,8,2023
MT Tassili 8,IMO9512855,Pétrolier,Port d'Alger,2023-08-21 02:50,2023-08-23 10:31,55h42,55.69,Attente pilote,32734,178.9,10.9,9,0.86,Houle,Q2,Lundi,8,2023
MV Cirta 1,IMO9601949,Céréalier,Port d'Alger,2023-08-22 22:15,2023-08-25 02:26,52h11,52.19,Encombrement quai,16950,219.8,13.7,3,0.32,Beau temps,Q8,Mardi,8,2023
RoRo Kabylie 5,IMO9540418,Roulier (Ro-Ro),Port d'Alger,2023-08-24 06:00,2023-08-25 18:30,36h31,36.52,Attente pilote,33533,151.7,10.4,9,0.59,Beau temps,Q8,Jeudi,8,2023
MV Star 1,IMO9120294,Cimentier,Port d'Alger,2023-08-25 06:50,2023-08-27 18:21,59h32,59.53,Attente déchargement,15449,159.7,10.8,6,1.0,Mer agitée,Q4,Vendredi,8,2023
MSC/CMA Sahel 9,IMO9230283,Porte-conteneurs,Port d'Alger,2023-08-25 10:10,2023-08-27 03:06,40h57,40.95,Attente grue,83370,243.1,14.7,8,0.68,Beau temps,Q10,Vendredi,8,2023
LNG Diamant 5,IMO9524902,Gazier,Port d'Alger,2023-08-25 13:15,2023-08-27 05:21,40h06,40.1,Contrôle sécurité,31868,144.8,10.1,7,0.68,Vent fort,Q2,Vendredi,8,2023
MV Star 9,IMO9439898,Vraquier,Port d'Alger,2023-08-30 08:50,2023-09-02 00:01,63h12,63.2,Attente marchandise,12642,167.9,10.0,6,1.0,Houle,Q6,Mercredi,8,2023
MSC/CMA Poseidon 6,IMO9059942,Porte-conteneurs,Port d'Alger,2023-08-31 06:00,2023-09-01 11:19,29h20,29.33,Attente grue,113748,293.1,20.1,1,0.35,Beau temps,Q9,Jeudi,8,2023
MV Neptune 8,IMO9332441,Céréalier,Port d'Alger,2023-09-04 07:30,2023-09-06 23:34,64h04,64.07,Attente marchandise,38546,164.6,10.0,7,0.68,Beau temps,Q5,Lundi,9,2023
MV Hoggar 6,IMO9222955,Vraquier,Port d'Alger,2023-09-04 20:20,2023-09-06 10:42,38h23,38.38,Attente poste à quai,55238,159.2,9.4,3,0.38,Beau temps,Q10,Lundi,9,2023
MV Cirta 2,IMO9778480,Vraquier,Port d'Alger,2023-09-06 21:10,2023-09-09 06:45,57h35,57.59,Attente marchandise,44333,199.9,13.9,5,0.25,Mer agitée,Q5,Mercredi,9,2023
